type,title,password,parent,link,image_url
school,Field 1,,,,
school,Field 2,,,,
school,Field 3,,,,
class,Class 1 - Field 1,,Field 1,,
class,Class 2 - Field 1,111,Field 1,,
class,Class 3 - Field 1,111,Field 1,,
class,Class 1 - Field 2,111,Field 2,,
class,Class 2 - Field 2,,Field 2,,
class,Class 3 - Field 2,111,Field 2,,
class,Class 1 - Field 3,111,Field 3,,
class,Class 2 - Field 3,111,Field 3,,
class,Class 3 - Field 3,,Field 3,,
entity,Lesson 1,,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/3.png
entity,Lesson 2,,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/7.png
entity,Lesson 3,,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/8.png
entity,Lesson 4,,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/7.png
entity,Lesson 5,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/1.png
entity,Lesson 6,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/5.png
entity,Lesson 7,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/3.png
entity,Lesson 8,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/8.png
entity,Lesson 9,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/6.png
entity,Lesson 10,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/5.png
entity,Lesson 11,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/8.png
entity,Lesson 12,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/2.png
entity,Lesson 13,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/6.png
entity,Lesson 14,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/1.png
entity,Lesson 15,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/4.png
entity,Lesson 16,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/2.png
entity,Lesson 17,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/8.png
entity,Lesson 18,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/3.png
entity,Lesson 19,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/1.png
entity,Lesson 20,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/4.png
entity,Lesson 21,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/3.png
entity,Lesson 22,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/2.png
entity,Lesson 23,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/5.png
entity,Lesson 24,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/4.png
entity,Lesson 25,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/2.png
entity,Lesson 26,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/5.png
entity,Lesson 27,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/2.png
entity,Lesson 28,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/2.png
entity,Lesson 29,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/2.png
entity,Lesson 30,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/3.png
