type,title,password,parent,link,image_url
school,Field 1,,,,
school,Field 2,,,,
school,Field 3,,,,
class,Class 1 - Field 1,,Field 1,,
class,Class 2 - Field 1,111,Field 1,,
class,Class 3 - Field 1,111,Field 1,,
class,Class 1 - Field 2,111,Field 2,,
class,Class 2 - Field 2,,Field 2,,
class,Class 3 - Field 2,111,Field 2,,
class,Class 1 - Field 3,111,Field 3,,
class,Class 2 - Field 3,111,Field 3,,
class,Class 3 - Field 3,,Field 3,,
enity,Lesson 1,,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/3.png
enity,Lesson 2,,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/7.png
enity,Lesson 3,,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/8.png
enity,Lesson 4,,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/7.png
enity,Lesson 5,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/1.png
enity,Lesson 6,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/5.png
enity,Lesson 7,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/3.png
enity,Lesson 8,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/8.png
enity,Lesson 9,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/6.png
enity,Lesson 10,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/5.png
enity,Lesson 11,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/8.png
enity,Lesson 12,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/2.png
enity,Lesson 13,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/6.png
enity,Lesson 14,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/1.png
enity,Lesson 15,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/4.png
enity,Lesson 16,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/2.png
enity,Lesson 17,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/8.png
enity,Lesson 18,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/3.png
enity,Lesson 19,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/1.png
enity,Lesson 20,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/4.png
enity,Lesson 21,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/3.png
enity,Lesson 22,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/2.png
enity,Lesson 23,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/5.png
enity,Lesson 24,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/4.png
enity,Lesson 25,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/2.png
enity,Lesson 26,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/5.png
enity,Lesson 27,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/2.png
enity,Lesson 28,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/2.png
enity,Lesson 29,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/2.png
enity,Lesson 30,111,Class 1 - Field 1,https://www.google.com/,http://localhost/wp_practice/wp-content/uploads/2025/09/3.png
